word,text,cluster,cluster_name,frequency,group_dim_1,group_dim_2,orig
'mother lost friend',group_361,7,Separation,1,-0.7442762279448178,-3.7287758680217964,Experiment
0,group_6,3,Deprivation,1,0.6257626828015174,0.5302113464580103,Experiment
1 month ago,group_2246,4,Emotional Turmoil,1,0.4582192138368377,-0.39271259128887614,Experiment
12000,group_2361,2,Financial,1,-2.02391542571243,3.456516752228799,Experiment
1emotional losses,group_147,6,Detriment,1,-2.265385616893603,-0.43357342761091267,Experiment
1emptiness,group_2562,3,Deprivation,1,0.5964335320346653,0.7900735414960416,Experiment
2 favorite shirts,group_2070,3,Deprivation,1,2.0469630977042472,-1.1675054504070717,Experiment
3 months ago,group_2246,4,Emotional Turmoil,1,0.4582192138368377,-0.39271259128887614,Experiment
3rd degree burn,group_1664,6,Detriment,1,-2.056311386346441,-1.6279326604778883,Experiment
3rd game,group_60,1,Competitive Failure,1,3.281686875718825,2.2872449808531696,Experiment
401k,group_722,2,Financial,3,-2.5875684809508437,2.6008247063371552,Experiment
401k loss worry,group_722,2,Financial,1,-2.5875684809508437,2.6008247063371552,Experiment
5 months ago,group_2246,4,Emotional Turmoil,1,0.4582192138368377,-0.39271259128887614,Experiment
50 lbs,group_1016,6,Detriment,1,-3.112109398483468,-1.0717048314535,Experiment
6 days ago,group_2247,4,Emotional Turmoil,1,0.5468781552382608,-0.27587746314115885,Experiment
8 months ago,group_2246,4,Emotional Turmoil,1,0.4582192138368377,-0.39271259128887614,Experiment
Absenteeism and productivity losses.,group_2631,2,Financial,1,-2.7106611580414866,1.2425502482122213,Papers
Accidental loss.,group_1262,6,Detriment,2,-2.077094991888197,0.4516200947499632,Papers
Accounting impairment losses.,group_2749,2,Financial,1,-3.2678885905144073,1.9903111781705916,Papers
Accounting loss contingencies,group_2574,2,Financial,1,-3.27600157714388,2.0552571409650677,Papers
Accounting losses.,group_348,2,Financial,1,-3.1731242524638983,1.9956610729370086,Papers
Accumulated losses.,group_2678,2,Financial,1,-3.198096216110451,1.4425492217067146,Papers
Accumulating losses.,group_2614,2,Financial,1,-3.328754170019865,1.567268437673677,Papers
Action Inaction Regret Losses,group_1740,6,Detriment,1,-2.323314602413181,0.23695502463633947,Papers
Action and inaction losses.,group_2690,6,Detriment,1,-2.1985799242889805,0.5321081182062868,Papers
Action and inaction.,group_2690,6,Detriment,1,-2.1985799242889805,0.5321081182062868,Papers
Action control loss.,group_2765,6,Detriment,1,-2.0801894163595303,0.4972674098663857,Papers
Action outcome losses,group_2605,2,Financial,1,-3.1184839778642575,1.1576147392368679,Papers
Adverse event losses,group_2757,2,Financial,1,-3.255783490606416,1.8166663700158876,Papers
Adverse selection,group_2746,2,Financial,1,-3.362099571806855,1.3813706779573676,Papers
Aesthetic and functional losses,group_2732,6,Detriment,1,-2.3197382301986984,-0.45899513211954923,Papers
Agency losses.,group_2702,2,Financial,1,-3.178415876943041,1.7294650604902586,Papers
Agro-biodiversity loss,group_2635,6,Detriment,1,-2.680060724549352,0.8064413364722262,Papers
Ambiguity and Information Loss,group_2679,2,Financial,1,-3.3703296354766774,1.2911691663329772,Papers
Ambiguity and uncertainty losses.,group_2679,2,Financial,1,-3.3703296354766774,1.2911691663329772,Papers
Ambiguity losses.,group_2679,2,Financial,1,-3.3703296354766774,1.2911691663329772,Papers
Ambiguous losses.,group_2679,2,Financial,3,-3.3703296354766774,1.2911691663329772,Papers
Amenity losses.,group_2613,2,Financial,1,-2.7485891519870638,0.9190996469329582,Papers
Anchoring losses.,group_2614,2,Financial,1,-3.328754170019865,1.567268437673677,Papers
Anticipated Regret Losses,group_1740,6,Detriment,1,-2.323314602413181,0.23695502463633947,Papers
Anticipated affective losses.,group_2632,2,Financial,1,-3.388961618964367,1.5163817919059885,Papers
Anticipated emotional loss.,group_2645,6,Detriment,1,-2.398000117865519,-0.4562833516948529,Papers
"Anticipated loss, Monetary loss.",group_2632,2,Financial,1,-3.388961618964367,1.5163817919059885,Papers
"Anticipated losses, Experienced losses.",group_2632,2,Financial,1,-3.388961618964367,1.5163817919059885,Papers
Anticipated losses.,group_2614,2,Financial,2,-3.328754170019865,1.567268437673677,Papers
Anticipated negative emotional losses.,group_2645,6,Detriment,1,-2.398000117865519,-0.4562833516948529,Papers
Anticipated physical loss.,group_2645,6,Detriment,1,-2.398000117865519,-0.4562833516948529,Papers
Anticipated regret losses.,group_1740,6,Detriment,1,-2.323314602413181,0.23695502463633947,Papers
Anticipated regret.,group_1740,6,Detriment,1,-2.323314602413181,0.23695502463633947,Papers
"Anticipated, Experienced.",group_1140,4,Emotional Turmoil,1,-0.8344727903331881,-1.1146453489261616,Papers
Anticipatory Loss.,group_2632,2,Financial,1,-3.388961618964367,1.5163817919059885,Papers
Anticipatory fear loss.,group_2745,2,Financial,1,-3.195716678735148,0.824310544662132,Papers
Anticipatory loss.,group_2632,2,Financial,1,-3.388961618964367,1.5163817919059885,Papers
Approximation losses.,group_2664,2,Financial,1,-3.5653864491990985,1.2330937281708776,Papers
Arable land loss.,group_2261,2,Financial,1,-2.8126079390902836,1.1080850186402338,Papers
Arrival time losses.,group_2607,2,Financial,1,-3.112043063283253,1.1476858639901157,Papers
Artificial Intelligence,group_2748,4,Emotional Turmoil,2,0.37819882303591834,-0.9178462348747418,Papers
Asset and competence losses.,group_2219,6,Detriment,1,-2.5792578152696537,0.6950252708530824,Papers
"Asset, Livestock, Crop.",group_2742,2,Financial,1,-2.32833266269246,1.79845897212706,Papers
Asymmetric decision losses,group_2637,2,Financial,1,-3.4635260133196812,1.4566750235644703,Papers
Asymmetric economic losses.,group_2637,2,Financial,1,-3.4635260133196812,1.4566750235644703,Papers
Asymmetric expected losses.,group_2637,2,Financial,1,-3.4635260133196812,1.4566750235644703,Papers
Asymmetric financial losses,group_2637,2,Financial,1,-3.4635260133196812,1.4566750235644703,Papers
Asymmetric financial losses.,group_2637,2,Financial,2,-3.4635260133196812,1.4566750235644703,Papers
Asymmetric loss functions,group_2664,2,Financial,1,-3.5653864491990985,1.2330937281708776,Papers
Asymmetric loss functions.,group_2664,2,Financial,1,-3.5653864491990985,1.2330937281708776,Papers
Asymmetric losses.,group_2637,2,Financial,2,-3.4635260133196812,1.4566750235644703,Papers
Asymmetric outcome losses.,group_2637,2,Financial,1,-3.4635260133196812,1.4566750235644703,Papers
Asymmetric piecewise linear,group_2737,2,Financial,1,-3.5092883332975466,1.194012025037248,Papers
Attention to financial losses,group_263,2,Financial,1,-3.1556534278242028,1.974623968314589,Papers
Attentional and cognitive losses.,group_2639,6,Detriment,1,-2.5910637423058436,0.10667080722640639,Papers
Attentional and inhibitory.,group_2694,6,Detriment,1,-2.6474158574161333,0.39919307053100334,Papers
Attentional losses.,group_2639,6,Detriment,2,-2.5910637423058436,0.10667080722640639,Papers
Attributed losses.,group_2678,2,Financial,1,-3.198096216110451,1.4425492217067146,Papers
Autonomy loss.,group_372,6,Detriment,2,-1.8256013949459802,0.3749204324131537,Papers
Autonomy losses.,group_372,6,Detriment,1,-1.8256013949459802,0.3749204324131537,Papers
"Autonomy, Control, Independence.",group_1704,6,Detriment,1,-1.8820530723403532,0.6763043121443532,Papers
Aversive expected losses,group_2591,2,Financial,1,-3.3934687419145853,1.3703805976257488,Papers
Averted gains and losses.,group_2622,2,Financial,1,-3.2264624517044975,1.8765247288033524,Papers
Avoidance of losses,group_2622,2,Financial,1,-3.2264624517044975,1.8765247288033524,Papers
Bargaining power loss,group_2671,2,Financial,1,-2.630311119235789,0.9456072964261201,Papers
Behavioral Sunk Costs,group_2636,2,Financial,1,-3.3144921006361834,1.5955248297848734,Papers
Behavioral finance losses,group_2593,2,Financial,1,-3.2277024729798125,1.1265526759244868,Papers
Behavioral loss aversion,group_2591,2,Financial,1,-3.3934687419145853,1.3703805976257488,Papers
Behavioral losses.,group_2593,2,Financial,1,-3.2277024729798125,1.1265526759244868,Papers
"Bereavement loss, Identity loss.",group_19,4,Emotional Turmoil,1,-1.531378795808859,-1.3906922606245922,Papers
Bereavement-related emotional losses,group_19,4,Emotional Turmoil,1,-1.531378795808859,-1.3906922606245922,Papers
Biodiversity loss assessment,group_2635,6,Detriment,1,-2.680060724549352,0.8064413364722262,Papers
Biodiversity losses.,group_2635,6,Detriment,1,-2.680060724549352,0.8064413364722262,Papers
Business and job losses.,group_2625,2,Financial,1,-2.3164758653297923,1.5146575985945798,Papers
Capital losses.,group_263,2,Financial,1,-3.1556534278242028,1.974623968314589,Papers
Career and Reputation Losses,group_2627,2,Financial,1,-3.0967280796606476,1.1290500747818364,Papers
Catastrophic losses.,group_2759,2,Financial,2,-2.8123204495059575,1.0996051242909974,Papers
Catastrophic risks.,group_2759,2,Financial,1,-2.8123204495059575,1.0996051242909974,Papers
