text,dim_1,dim_2,group_size,group_texts,group_min_sim,cluster,most_frequent,cluster_name
group_1,-0.10055068375007739,1.7902448718092998,565,,0.7630302709523522,1,sadness,Emotional Distress
group_2,-0.5714150036669927,-0.49167314001097,32,,0.748469701270422,2,without,Deprivation
group_3,-0.4765354123928772,-0.355493171845607,3,,0.7891144259886205,2,left out,Deprivation
group_4,0.9107327018996985,-0.05914329670354029,10,,0.7724909051002649,3,hard,Competitive loss
group_5,1.5120107009883996,2.491707078146621,407,,0.7620388082426013,4,grief,Mourning
group_6,-0.6349450960605175,-0.4960309443250293,6,,0.78008325609249,2,incomplete,Deprivation
group_7,1.3558486360585444,0.19452735529630227,5,,0.783519841253964,4,desire,Mourning
group_8,-0.9469474227199267,-0.4173361790371636,140,,0.7655005351439902,2,missing,Deprivation
group_9,-0.5626142915784452,-0.016996403840283628,126,,0.749530091763023,2,emptiness,Deprivation
group_10,0.1612912251342429,-1.642074106115781,264,,0.7427058392552095,5,failure,Financial
group_11,0.07560942605781926,1.3954560340160764,22,,0.7697905919505535,1,guilt,Emotional Distress
group_12,0.268634700659783,1.233911030463179,34,,0.7819229450341363,1,shame,Emotional Distress
group_13,-0.7667509894334613,0.7496234708434445,50,,0.768741645538181,2,bad,Deprivation
group_14,1.598456188474671,3.314275379223342,446,,0.7444327547639984,4,death,Mourning
group_15,2.324848087320978,-2.092744923558168,42,,0.7468427233726709,3,lose,Competitive loss
group_16,-0.025321773975266845,2.3310590698423614,39,,0.7647339147715727,1,hurt,Emotional Distress
group_17,-0.23016546721422415,1.7327502909259742,53,,0.7683768720972382,1,upset,Emotional Distress
group_18,1.855418581785002,3.388494950998307,35,,0.7529493099897275,4,death of someone,Mourning
group_19,-2.8389872131662357,2.867811950379311,49,,0.7666337816437095,6,pet's death,Material deprivation
group_20,-2.1681484378282034,0.7120457320849046,7,,0.7522952248279078,6,loss of power,Material deprivation
group_21,-0.7735873999533052,-0.07772431826111484,22,,0.7612620456391842,2,disappeared,Deprivation
group_22,-2.7311999700619927,-2.570116260702468,128,,0.754451841335468,5,financial loss,Financial
group_23,1.6258006576683621,0.5136707007277714,51,,0.7479040927294769,4,life,Mourning
group_24,-2.5898830110026556,-3.267268578285552,78,,0.7719545812789935,5,financial,Financial
group_25,2.794366399229674,1.2344199537796237,84,,0.7491111087684883,4,relationship,Mourning
group_26,0.42259466469880314,2.810897826566873,68,,0.7823250457417332,4,health,Mourning
group_27,0.6144394011459087,-1.0504507241761143,78,,0.7746605112500266,3,time,Competitive loss
group_28,-1.032780399398572,-0.03572040893229492,2,,0.7677008334660543,2,misfiled,Deprivation
group_29,-1.276808819897484,-0.42210273747735505,34,,0.789495708069015,7,misplace,Inaccessibility
group_30,-1.229873186346813,0.712867715922845,14,,0.8210840501235234,2,drop,Deprivation
group_31,0.8644938411623855,0.9141931748772344,48,,0.7456724317672498,4,forgetting,Mourning
group_32,-0.26744809467056246,0.9659889103494635,25,,0.7849646903731362,2,deprivation,Deprivation
group_33,-0.017028437115237244,1.709526872119314,78,,0.7462441224833314,1,sorrow,Emotional Distress
group_34,1.3363534718099308,1.2418315973648117,5,,0.7588259997540853,4,remembering,Mourning
group_35,-0.6529069343198737,0.09965780188110843,114,,0.7699597572820703,2,gone,Deprivation
group_36,-0.7683670674584596,-0.3788195618557565,10,,0.7801924111181071,2,lack,Deprivation
group_37,-0.32375865306678503,-0.11304199903060885,4,,0.7544357418368929,2,cease to exist,Deprivation
group_38,-1.9520901587253054,-0.7571228672467601,5,,0.7505984341316686,7,no longer mine,Inaccessibility
group_39,2.1832885952930825,0.5200524464161183,2,,0.7897565599547797,4,special friend,Mourning
group_40,-0.865448616078748,-0.4311145445610088,75,,0.78560491237724694,2,absence,Deprivation
group_41,-2.606603616413594,-2.966052902215786,16,,0.8223141580330449,5,deficit,Financial
