StartDate,EndDate,duration_sec,prolific_id,loss3_win6,loss4_win6,loss5_win6,loss6_win6,loss7_win6,loss8_win6,loss9_win6,risk_question,age,gender,response_self_describe,highest_education,employement_status,IA usage,Data usage,why_not_usage,feedback,PROLIFIC_PID,association_1,association_2,association_3,association_4,association_5,situation_1,situation_2,situation_3,situation_4,situation_5,first_block,wording,gender_clean
2024-07-23 10:58:07,2024-07-23 10:59:55,107,659815d4a2f8fc3eaf06fb90,Accept,Accept,Accept,Reject,Reject,Reject,Reject,2,28,Female,NA,Bachelor’s degree,Working part-time,No,Yes,NA,NA,659815d4a2f8fc3eaf06fb90,sad,without,left alone,hard,grief,Lost my dog,Lost a friend,Lost some money,Lost progress at work,Lost fitness ability,situations,loss,Female
2024-07-23 11:01:11,2024-07-23 11:06:13,302,5ff0f1d4feba310317255693,Accept,Reject,Reject,Reject,Reject,Reject,Reject,3,23,Female,NA,Bachelor’s degree,Working part-time,No,Yes,NA,None,5ff0f1d4feba310317255693,Incomplete,Saddness,Wanting,Missing,Empty,Putting my dog down,Forgetting to do projects related to work,Lost my keys,Lost track of time and running late to a meeting,Saying goodbye to my internship and the friends I made,situations,loss,Female
2024-07-23 11:02:33,2024-07-23 11:06:37,244,5b29a05e6d03870001976bdb,Accept,Accept,Reject,Reject,Reject,Reject,Reject,4,35,Female,NA,Bachelor’s degree,A homemaker or stay-at-home parent,No,Yes,NA,NA,5b29a05e6d03870001976bdb,Sadness,Failure,Guilt,Shame,Bad,Money,Friend,Pet,Car crash,Trust,associations,loss,Female
2024-07-23 11:08:05,2024-07-23 11:10:51,166,664a084d11b1372fe674cf97,Reject,Reject,Reject,Reject,Reject,Reject,Reject,3,28,Female,NA,Bachelor’s degree,Working full-time,No,Yes,NA,NA,664a084d11b1372fe674cf97,death,grief,losing,hurt,upset,Loss of a family member,Loss of a job opportunity,Loss of a personal item,Loss of a educational opportunity for a family member,loss of an opportunity to move to a better place,situations,loss,Female
2024-07-23 11:04:05,2024-07-23 11:12:10,485,66841f71f65ba4c381f1f012,Accept,Accept,Reject,Reject,Reject,Reject,Reject,5,51,Female,NA,High school diploma or GED,Unemployed and looking for work,No,Yes,NA,NA,66841f71f65ba4c381f1f012,Someone dies,Death of pet,Loss of power,Person goes missing,Financial loss,My mother died,My brother died,My Nan died,My Uncle died,My pet cat died,situations,loss,Female
2024-07-23 10:58:20,2024-07-23 11:12:17,837,6690191902bcf0d263237423,Accept,Accept,Accept,Accept,Accept,Reject,Reject,8,33,Male,NA,"Some college, but no degree",Working full-time,No,Yes,NA,I enjoyed the idea of thinking about loss. Sounds strange but it gave me a retrospective look about some of my losses this year.,6690191902bcf0d263237423,Life,Financial,Relationship,Health,Time,An individual die in a flood from drowning.,The individuals brother saved an individual but died going back for the brother.,A person went to sleep but didn't wake up in the morning,A loss of an opportunity at work to advance.,A loss in an opportunity in my personal life to advance myself.,situations,loss,Male
2024-07-23 11:10:05,2024-07-23 11:13:23,198,668af2ae1e1c6db3449f16c3,Accept,Accept,Accept,Accept,Accept,Accept,Accept,10,28,Female,NA,High school diploma or GED,Working part-time,No,No,NA,NA,668af2ae1e1c6db3449f16c3,mislaying,misplacement,dropping,forgetting,deprivation,grandparent on my moms side,grandparent on moms side,grandparent on dads side,loss of job,loss of a cat,associations,loss,Female
2024-07-23 11:09:26,2024-07-23 11:13:59,273,610b64dc95ff0ef5b5b9ac6b,Accept,Accept,Reject,Reject,Reject,Reject,Reject,5,26,Male,NA,High school diploma or GED,Unemployed and looking for work,No,Yes,NA,NA,610b64dc95ff0ef5b5b9ac6b,Grieving,Mourning,Sorrow,Sadness,Remembering,I lost a lover I cared about grealy,A close friend cut ties with me,A new lover and I broke up,My mother passed away,I lost my favorite ring,associations,loss,Male
2024-07-23 11:07:29,2024-07-23 11:14:19,410,5f3e5e066dfaa70464615447,Accept,Accept,Reject,Accept,Accept,Accept,Reject,5,48,Female,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Working full-time,No,Yes,NA,NA,5f3e5e066dfaa70464615447,missing,empty,void,vacant,without,bills taking money,lost interest in work,lost time doing something,i had a loss of words with somene,suffered a loss when something didnt go right,associations,loss,Female
2024-07-23 11:10:33,2024-07-23 11:14:32,239,60a7d7b70d3cf8f48a8a490d,Accept,Accept,Reject,Reject,Reject,Reject,Reject,3,34,Male,NA,Bachelor’s degree,Unemployed and looking for work,No,Yes,NA,NA,60a7d7b70d3cf8f48a8a490d,gone,lack,cease to exist,no longer mine,special thing,broke up with gf,got sick and lost my good health,dropped my phone and cracked the screen,lost my dog once when he got loose,I lose my keys regularly,associations,loss,Male
2024-07-23 11:06:43,2024-07-23 11:14:50,487,668557d1e320c60c7699a908,Reject,Accept,Reject,Accept,Reject,Accept,Reject,5,46,Male,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Working part-time,No,Yes,NA,no,668557d1e320c60c7699a908,Grief,Absence,Deficit,Farewell,Disappointment,Pet passing away,Job loss,Ending of a relationship,Health issue in the family,Moving away from a familiar place,associations,loss,Male
2024-07-23 11:10:26,2024-07-23 11:14:56,270,6697e138b2f903f8b4d25b16,Accept,Accept,Accept,Accept,Reject,Reject,Reject,8,36,Female,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Working full-time,No,Yes,NA,NA,6697e138b2f903f8b4d25b16,Grief,absense,defeat,sorrow,missing,soccer game,car wreck,gambling,death of a family member,break up,associations,loss,Female
2024-07-23 16:11:53,2024-07-23 16:16:34,280,6600dc85f02c7ef9ad2224b5,Accept,Accept,Accept,Accept,Accept,Accept,Accept,10,30,Male,NA,High school diploma or GED,Unemployed and looking for work,No,Yes,NA,NA,6600dc85f02c7ef9ad2224b5,defeat,losing possession of,death of friend,missing out on something,the emd of,lost my dog,lost a friend,lost a game,lost a bet,lost my wallet,associations,loss,Male
2024-07-23 16:13:20,2024-07-23 16:17:16,235,664b70405088ec2932b7b862,Reject,Reject,Reject,Reject,Reject,Reject,Reject,2,35,Female,NA,"Some college, but no degree",Working part-time,No,Yes,NA,NA,664b70405088ec2932b7b862,absence,void,unwelcome,shifting,disoriented,losing job,losing health insurance,losing contact with associates,losing standard of living,losing main livelihood,situations,loss,Female
2024-07-23 16:15:02,2024-07-23 16:17:36,154,666be0df1ff8fa6d5e5bfe47,Accept,Accept,Accept,Accept,Reject,Reject,Reject,8,20,Male,NA,Some high school or less,Other,No,Yes,NA,Give a more clear meaning of what you meant by situations where loss occur,666be0df1ff8fa6d5e5bfe47,death,money,depression,damn,job,stocks loss,brother moved away,my dogs,my sense of being in control of my own life,a sense of control,associations,loss,Male
2024-07-23 16:15:02,2024-07-23 16:18:26,203,5d9eb6d611b7c400172aa975,Reject,Reject,Reject,Reject,Reject,Reject,Reject,4,45,Female,NA,"Some college, but no degree",Working part-time,No,Yes,NA,NA,5d9eb6d611b7c400172aa975,marriage,family,death,money,freedoms,loss of words,loss of friends,loss of patience,loss of money,loss of weight,associations,loss,Female
2024-07-23 16:17:11,2024-07-23 16:19:34,142,63d30b2b7cd6beb472ecc740,Accept,Reject,Reject,Reject,Reject,Reject,Reject,4,21,Male,NA,High school diploma or GED,Working full-time,No,Yes,NA,NA,63d30b2b7cd6beb472ecc740,Death,Stolen,Dropped,Spend,Deduction,Lost my girlfriend,Lost my home,Lost my dog,Lost my keys,Lost my money,associations,loss,Male
2024-07-23 16:11:13,2024-07-23 16:19:36,502,657353e84d1080cd9c53b962,Accept,Accept,Accept,Accept,Reject,Reject,Reject,5,22,Male,NA,Bachelor’s degree,Working full-time,No,No,It is personal information about my loss,NA,657353e84d1080cd9c53b962,sad,depressed,mad,disappearance,forgetting,My grandfather passed away 6 months ago,My friend told me he was moving out and I couldn't we able to see him again,All of my fish that were in the pond died due to too much heat in the water and not enough oxygen,I lost privilege of a travel card that allowed me to enter airport lounges due to some issues,I lost a good friend of mine due to distance,associations,loss,Male
2024-07-23 16:11:00,2024-07-23 16:19:57,536,6578a63eb2461ea0d93a69d0,Accept,Accept,Accept,Accept,Reject,Reject,Reject,4,28,Female,NA,Bachelor’s degree,A homemaker or stay-at-home parent,No,Yes,NA,NA,6578a63eb2461ea0d93a69d0,Unknown,Gone,Sorrow,Death,Mourning,Lost hearing,Lost $2.5k to plumbing bill,Lost pet cat,Loss of friends,Broken wax melter,associations,loss,Female
2024-07-23 16:15:16,2024-07-23 16:20:55,338,663e3f4c8714f33f9f2aecca,Accept,Reject,Reject,Reject,Reject,Reject,Reject,5,25,Male,NA,High school diploma or GED,Working full-time,No,Yes,NA,It was a pretty decent study not too complicated and straight to the point without over 50 ridiculous questions,663e3f4c8714f33f9f2aecca,Gone,Loser,Gone,Goodbye,Finished,Death of family member,Lost my airpods,Lost job,Lost my side boyfriends,Lost my freedom,associations,loss,Male
2024-07-23 16:19:03,2024-07-23 16:21:21,138,6150973d9a8dcb25beb54ba0,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1,25,Male,NA,"Some college, but no degree",Working full-time,No,Yes,NA,NA,6150973d9a8dcb25beb54ba0,Death,Grief,Void,Nothing,Empty,Skip,Chunkers,Colton’s kittens,Dreamy,Snow white,situations,loss,Male
2024-07-23 16:18:50,2024-07-23 16:22:23,212,668f71c53d9a292b9c5d6845,Accept,Reject,Reject,Reject,Reject,Reject,Reject,2,21,Female,NA,"Some college, but no degree",Working part-time,No,Yes,NA,NA,668f71c53d9a292b9c5d6845,Lonely,Dark,Sad,Grief,Funeral,Not doing well on my finals,My friends graduating and moving away,Getting let go from my job,Not getting hired after an interview at a new job,Not getting elected to the board of a club I’m in,associations,loss,Female
2024-07-23 16:17:33,2024-07-23 16:22:39,306,610ee3f3b60bb3923a898f9f,Accept,Accept,Reject,Reject,Reject,Reject,Reject,7,30,Female,NA,High school diploma or GED,A homemaker or stay-at-home parent,No,Yes,NA,It was hard to think of 5 losses in one year.,610ee3f3b60bb3923a898f9f,death,disappointment,sadness,going missing,card games,I moved away from my cat,I lost a lot of games in Fortnite,I misplaced my sunglasses,I found out a teacher I liked was a pedophile,I had to give up a vacation,associations,loss,Female
2024-07-23 16:14:52,2024-07-23 16:23:22,510,5f90be6e4edf731d4327c331,Accept,Reject,Reject,Reject,Reject,Reject,Reject,1,36,Female,NA,"Some college, but no degree",A homemaker or stay-at-home parent,No,Yes,NA,NA,5f90be6e4edf731d4327c331,Death of family.,Death of pet.,Job loss.,Being in debt.,Not winning lottery.,Lost one of my best friends to meth addiction.,Lost being debt free this year to home repairs.,Lost my sense of self being a mother and wife.,Lost my sense of peace due to financial struggles.,Lost at the Powerball multiple times.,situations,loss,Female
2024-07-23 16:18:49,2024-07-23 16:23:29,280,61002399798bfe567e2c10b4,Reject,Reject,Reject,Reject,Reject,Reject,Reject,1,23,Female,NA,Bachelor’s degree,Working full-time,No,Yes,NA,NA,61002399798bfe567e2c10b4,death,sadness,grief,gone,cry,lost a friend,lost a shirt,lost a job opportunity,lost money from parking ticket,lost keys,associations,loss,Female
2024-07-23 16:20:53,2024-07-23 16:24:28,214,6686fce9627b8e2de105914e,Accept,Reject,Reject,Reject,Reject,Reject,Reject,4,31,Female,NA,Bachelor’s degree,Working full-time,No,Yes,NA,NA,6686fce9627b8e2de105914e,Grief,Tragedy,Saddness,Change,Transition,Loss of mother in law,Loss of job location,Loss of a friend,Loss of child father,Loss of work friend,situations,loss,Female
2024-07-23 16:17:46,2024-07-23 16:24:32,406,65245a2294a2d1c2bc2f0c74,Accept,Accept,Accept,Accept,Accept,Accept,Accept,7,67,Female,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Retired,No,Yes,NA,NA,65245a2294a2d1c2bc2f0c74,Death,Divorce,Relationship,Depression,Suicide,Friend diagnosed with ALS,Loss of a pet,Loss of some of my free time because of illness of family member,Loss of some savings in emergency fund secondary to roof leak,Loss of feeling of closeness with family member,associations,loss,Female
2024-07-23 16:16:49,2024-07-23 16:25:10,501,5f5d89dda340225e0c060414,Accept,Reject,Reject,Reject,Reject,Reject,Reject,2,61,Female,NA,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Other,No,Yes,NA,NA,5f5d89dda340225e0c060414,A negative experience,feeling hurtful,feeling as though you are missing out,the inability to do things as you did before,lacking independence,Health,Family relationship,Friendship,Finances,Ability to be independent,situations,loss,Female
2024-07-23 16:20:40,2024-07-23 16:25:15,274,6604b4abfb49bd03c246fa7d,Accept,Accept,Accept,Accept,Reject,Reject,Reject,10,32,Male,NA,Bachelor’s degree,Working part-time,No,Yes,NA,NA,6604b4abfb49bd03c246fa7d,Death,Longing,Remorse,Sadness,Heaven,Lost Family Dog (grandma's dog),Lost Friend Dog,Lost Online Job,Lost Respect For Certain Others,Lost Stock Value (*haven't sold),situations,loss,Male
2024-07-23 16:20:09,2024-07-23 16:25:38,328,6623f719e0a798796399fdd2,Accept,Reject,Reject,Reject,Accept,Accept,Accept,5,20,Female,NA,High school diploma or GED,Working full-time,No,No,"Rather my personal information be kept to myself, i.e, age,gender,etc",NA,6623f719e0a798796399fdd2,Depression,Anxiety,Loathing,Self-harm,Numbness,Grandmother got breast cancer,Brother was very verbally abusive,Great-grandmother passed,Got dumped,Got used emotionally by men,situations,loss,Female
