cluster,cluster_name,word,frequency,where
6,Competitive Loss,defeat,123,Association
6,Competitive Loss,gambling,66,Both
6,Competitive Loss,not winning,52,Association
6,Competitive Loss,lost a game,51,Both
6,Competitive Loss,sports,50,Both
6,Competitive Loss,lost a bet,48,Both
6,Competitive Loss,games,47,Both
6,Competitive Loss,competition,45,Both
6,Competitive Loss,game,45,Both
6,Competitive Loss,losing a game,38,Both
6,Competitive Loss,loser,30,Association
6,Competitive Loss,defeated,22,Association
6,Competitive Loss,lost money gambling,21,Situation
6,Competitive Loss,lose,20,Association
6,Competitive Loss,game loss,18,Both
6,Competitive Loss,lost the game,18,Both
6,Competitive Loss,lost sports bet,17,Situation
6,Competitive Loss,losing a bet,16,Both
6,Competitive Loss,losing,13,Association
6,Competitive Loss,lottery,13,Both
6,Competitive Loss,did not win,12,Both
6,Competitive Loss,lost the lottery,11,Situation
6,Competitive Loss,lost video game,11,Situation
6,Competitive Loss,a game,10,Both
6,Competitive Loss,betting,10,Both
6,Competitive Loss,board game,10,Both
6,Competitive Loss,failed to win,10,Situation
6,Competitive Loss,gambling loss,10,Situation
6,Competitive Loss,lost game,10,Situation
6,Competitive Loss,video game,10,Both
6,Competitive Loss,team loses game,9,Situation
6,Competitive Loss,winning,9,Association
6,Competitive Loss,bet,8,Both
6,Competitive Loss,bets,8,Both
6,Competitive Loss,video games,8,Both
6,Competitive Loss,gambling losses,7,Both
6,Competitive Loss,lost a race,7,Situation
6,Competitive Loss,lost lottery money,7,Situation
6,Competitive Loss,no lottery win,7,Situation
6,Competitive Loss,race,7,Both
6,Competitive Loss,second,7,Association
6,Competitive Loss,sport,7,Both
6,Competitive Loss,sports game loss,7,Both
6,Competitive Loss,a bet,6,Situation
6,Competitive Loss,gamble,6,Both
6,Competitive Loss,lost an argument,6,Situation
6,Competitive Loss,lost casino money,6,Situation
6,Competitive Loss,lost volleyball game,6,Situation
6,Competitive Loss,poker,6,Both
6,Competitive Loss,second place,6,Association
6,Competitive Loss,soccer game,6,Situation
6,Competitive Loss,team lost game,6,Situation
6,Competitive Loss,card game,5,Situation
6,Competitive Loss,defeats,5,Association
6,Competitive Loss,didn't win,5,Association
6,Competitive Loss,losing a race,5,Situation
6,Competitive Loss,lost money betting,5,Situation
6,Competitive Loss,lost the race,5,Situation
6,Competitive Loss,lost video games,5,Situation
6,Competitive Loss,not a winner,5,Association
6,Competitive Loss,team lost championship,5,Situation
6,Competitive Loss,board game loss,4,Both
6,Competitive Loss,cards,4,Situation
6,Competitive Loss,competitions,4,Association
6,Competitive Loss,gameplay defeat,4,Situation
6,Competitive Loss,losing an argument,4,Situation
6,Competitive Loss,lost at casino,4,Situation
6,Competitive Loss,lost at chess,4,Situation
6,Competitive Loss,lost board game,4,Situation
6,Competitive Loss,lost card game,4,Situation
6,Competitive Loss,lost chess game,4,Situation
6,Competitive Loss,lost football bet,4,Situation
6,Competitive Loss,lost lottery ticket,4,Situation
6,Competitive Loss,lost soccer game,4,Situation
6,Competitive Loss,lost softball game,4,Situation
6,Competitive Loss,lost to addiction,4,Situation
6,Competitive Loss,only one loss,4,Situation
6,Competitive Loss,sports betting loss,4,Situation
6,Competitive Loss,win,4,Association
6,Competitive Loss,basketball,3,Situation
6,Competitive Loss,competitive,3,Association
6,Competitive Loss,game loss experience,3,Situation
6,Competitive Loss,game over,3,Both
6,Competitive Loss,gaming,3,Both
6,Competitive Loss,loose,3,Association
6,Competitive Loss,losing a competition,3,Both
6,Competitive Loss,losing at games,3,Both
6,Competitive Loss,lost basketball game,3,Situation
6,Competitive Loss,lost gambling money,3,Situation
6,Competitive Loss,lost the contest,3,Situation
6,Competitive Loss,lost to kids,3,Situation
6,Competitive Loss,lost tournament,3,Situation
6,Competitive Loss,lost trivia game,3,Situation
6,Competitive Loss,lottery ticket,3,Situation
6,Competitive Loss,lottery tickets,3,Situation
6,Competitive Loss,no five losses,3,Situation
6,Competitive Loss,not first,3,Association
6,Competitive Loss,not win,3,Association
6,Competitive Loss,opposite of winning,3,Association
6,Competitive Loss,second best,3,Association
6,Competitive Loss,sports competition loss,3,Both
6,Competitive Loss,sports team loss,3,Situation
6,Competitive Loss,sports teams,3,Both
6,Competitive Loss,team,3,Both
6,Competitive Loss,team lost playoffs,3,Situation
6,Competitive Loss,teams,3,Association
6,Competitive Loss,winner,3,Association
6,Competitive Loss,wins,3,Association
6,Competitive Loss,a competition,2,Association
6,Competitive Loss,at the casino,2,Situation
6,Competitive Loss,baseball,2,Association
6,Competitive Loss,baseball game,2,Situation
6,Competitive Loss,basketball game,2,Situation
6,Competitive Loss,being a loser,2,Association
6,Competitive Loss,board games,2,Both
6,Competitive Loss,bowling,2,Situation
6,Competitive Loss,call of duty,2,Situation
6,Competitive Loss,card game loss,2,Situation
6,Competitive Loss,card games,2,Both
6,Competitive Loss,casino,2,Both
6,Competitive Loss,chess,2,Situation
6,Competitive Loss,competitive sports,2,Association
6,Competitive Loss,failure to win,2,Association
6,Competitive Loss,fantasy football,2,Situation
6,Competitive Loss,feeling defeated,2,Association
6,Competitive Loss,financial loss gamble,2,Situation
6,Competitive Loss,fortnite,2,Situation
6,Competitive Loss,gambling debt,2,Both
6,Competitive Loss,gambling money,2,Association
6,Competitive Loss,game defeats,2,Association
6,Competitive Loss,game loss online,2,Situation
6,Competitive Loss,game night loss,2,Situation
6,Competitive Loss,i don't lose,2,Situation
6,Competitive Loss,lose a bet,2,Association
6,Competitive Loss,lose a game,2,Situation
6,Competitive Loss,losing a competition.,2,Association
6,Competitive Loss,losing contest,2,Both
6,Competitive Loss,losing games,2,Situation
6,Competitive Loss,loss of game,2,Both
6,Competitive Loss,lost a contest,2,Situation
6,Competitive Loss,lost at cribbage,2,Situation
6,Competitive Loss,lost at games,2,Situation
6,Competitive Loss,lost at monopoly,2,Situation
6,Competitive Loss,lost at poker,2,Situation
6,Competitive Loss,lost at slots,2,Situation
6,Competitive Loss,lost bowling game,2,Situation
6,Competitive Loss,lost game progress,2,Situation
6,Competitive Loss,lost kickball game,2,Situation
6,Competitive Loss,lost pickle ball,2,Situation
6,Competitive Loss,lost poker money,2,Situation
6,Competitive Loss,lost the argument,2,Situation
6,Competitive Loss,lost the bet,2,Situation
6,Competitive Loss,lost the competition,2,Situation
6,Competitive Loss,lost to mom,2,Situation
6,Competitive Loss,mobile game,2,Situation
6,Competitive Loss,my team lost,2,Situation
6,Competitive Loss,not being a winner,2,Association
6,Competitive Loss,not first place,2,Association
6,Competitive Loss,not winning a competition,2,Association
6,Competitive Loss,online bet,2,Situation
6,Competitive Loss,online gaming loss,2,Situation
6,Competitive Loss,overcoming,2,Association
6,Competitive Loss,slots,2,Situation
6,Competitive Loss,soccer game loss,2,Situation
6,Competitive Loss,sporting events,2,Both
6,Competitive Loss,sports betting,2,Situation
6,Competitive Loss,sports game,2,Both
6,Competitive Loss,team loses playoffs,2,Situation
6,Competitive Loss,team lost competition,2,Situation
6,Competitive Loss,team lost tournament,2,Situation
6,Competitive Loss,tough game loss,2,Situation
6,Competitive Loss,volleyball,2,Situation
6,Competitive Loss,“sore loser”,1,Association
6,Competitive Loss,3rd game,1,Situation
6,Competitive Loss,a card game,1,Situation
6,Competitive Loss,a lost a bet,1,Association
6,Competitive Loss,a lost competition,1,Situation
6,Competitive Loss,admitting defeat,1,Association
6,Competitive Loss,agony of defeat,1,Association
6,Competitive Loss,almost won,1,Association
6,Competitive Loss,appearing to deserve the loss i experienced.,1,Association
6,Competitive Loss,arsenal loose the game to chelsea.,1,Association
6,Competitive Loss,assistantrunner-up,1,Association
6,Competitive Loss,at a casino,1,Situation
6,Competitive Loss,at cards,1,Situation
6,Competitive Loss,athletics,1,Association
6,Competitive Loss,award,1,Situation
6,Competitive Loss,bad betting decision,1,Situation
6,Competitive Loss,bad betting luck,1,Situation
6,Competitive Loss,bad gambling decisions,1,Situation
6,Competitive Loss,bad poker hand,1,Situation
6,Competitive Loss,bad sports season,1,Situation
6,Competitive Loss,badminton game loss,1,Situation
6,Competitive Loss,ball,1,Situation
6,Competitive Loss,baseball game loss,1,Situation
6,Competitive Loss,baseball games,1,Association
6,Competitive Loss,baseball scores,1,Association
6,Competitive Loss,beaten,1,Association
6,Competitive Loss,beaten in a match.,1,Association
6,Competitive Loss,being at loser a sport,1,Association
6,Competitive Loss,being beaten,1,Association
6,Competitive Loss,being beaten at something,1,Association
6,Competitive Loss,being bested,1,Association
6,Competitive Loss,being defeated,1,Association
6,Competitive Loss,bet lose,1,Association
6,Competitive Loss,bet loss,1,Situation
6,Competitive Loss,bet with granddaughter,1,Situation
6,Competitive Loss,bet with husband,1,Situation
6,Competitive Loss,bet wrong,1,Association
6,Competitive Loss,betting losses,1,Situation
6,Competitive Loss,bicycle race,1,Situation
6,Competitive Loss,billiards,1,Situation
6,Competitive Loss,blackjack,1,Situation
6,Competitive Loss,board game fail,1,Situation
6,Competitive Loss,bowl,1,Association
6,Competitive Loss,bowling team-lost championship,1,Situation
6,Competitive Loss,bowling tournament loss,1,Situation
6,Competitive Loss,broken bowl,1,Situation
6,Competitive Loss,buffalo bills,1,Association
6,Competitive Loss,carolina panthers losing,1,Situation
6,Competitive Loss,casino game loss,1,Situation
6,Competitive Loss,casino games,1,Situation
6,Competitive Loss,casino loss,1,Situation
6,Competitive Loss,casino losses.,1,Association
6,Competitive Loss,casino money loss,1,Situation
6,Competitive Loss,casinos,1,Association
6,Competitive Loss,checkmate,1,Association
6,Competitive Loss,chess tournament,1,Situation
6,Competitive Loss,chicago cubs,1,Association
6,Competitive Loss,cod gunfight,1,Situation
6,Competitive Loss,compete in swimming,1,Situation
6,Competitive Loss,competition lost,1,Association
6,Competitive Loss,competitiveness,1,Association
6,Competitive Loss,"computer games, daily",1,Situation
6,Competitive Loss,connect 4,1,Situation
6,Competitive Loss,conquered,1,Association
6,Competitive Loss,console game,1,Situation
6,Competitive Loss,constant losing streak,1,Situation
6,Competitive Loss,contests,1,Association
6,Competitive Loss,cooking contest,1,Situation
6,Competitive Loss,cribbage,1,Situation
6,Competitive Loss,darts game,1,Situation
6,Competitive Loss,defeat during sports,1,Association
6,Competitive Loss,defeat or failure,1,Association
6,Competitive Loss,defeat.,1,Association
6,Competitive Loss,defeated by ai,1,Situation
6,Competitive Loss,defeated by opponent,1,Association
6,Competitive Loss,defeated by son,1,Situation
6,Competitive Loss,defeated in argument,1,Situation
6,Competitive Loss,defeated in competitions,1,Association
6,Competitive Loss,didn't go fishing,1,Situation
6,Competitive Loss,disappointing race result,1,Situation
6,Competitive Loss,disappointing sports season,1,Situation
6,Competitive Loss,disc golf,1,Situation
6,Competitive Loss,dodgeball,1,Situation
6,Competitive Loss,don't win prize,1,Association
6,Competitive Loss,draftkings,1,Situation
6,Competitive Loss,election loss,1,Situation
6,Competitive Loss,election loss fear,1,Situation
6,Competitive Loss,election lost,1,Association
6,Competitive Loss,embarrassing race loss,1,Situation
6,Competitive Loss,enemy team,1,Association
6,Competitive Loss,enjoying wins,1,Association
6,Competitive Loss,fail to win,1,Association
6,Competitive Loss,failed sports prediction,1,Situation
6,Competitive Loss,failing a battle,1,Association
6,Competitive Loss,failing to win,1,Association
6,Competitive Loss,failing to win or succeed in a competition,1,Association
6,Competitive Loss,family game night,1,Situation
6,Competitive Loss,fantasy basketball,1,Situation
6,Competitive Loss,fantasy football loss,1,Situation
6,Competitive Loss,fantasy league loss,1,Situation
6,Competitive Loss,favorite team loses,1,Situation
6,Competitive Loss,favorite team lost,1,Situation
6,Competitive Loss,feeling of defeat,1,Association
6,Competitive Loss,fighter's career loss,1,Situation
6,Competitive Loss,finals game loss,1,Situation
6,Competitive Loss,financial sports loss,1,Situation
6,Competitive Loss,fishing,1,Situation
6,Competitive Loss,football,1,Situation
6,Competitive Loss,football game,1,Situation
6,Competitive Loss,football games,1,Association
6,Competitive Loss,football match,1,Situation
6,Competitive Loss,football team,1,Situation
6,Competitive Loss,football team defeated,1,Situation
6,Competitive Loss,football team losses,1,Situation
6,Competitive Loss,fourth place,1,Association
6,Competitive Loss,gambled away money,1,Situation
6,Competitive Loss,gambling and stock market losses,1,Association
6,Competitive Loss,gambling bet,1,Situation
6,Competitive Loss,gambling loss experienced,1,Situation
6,Competitive Loss,gambling loss risk,1,Situation
6,Competitive Loss,gambling money spent,1,Situation
6,Competitive Loss,gambling wagers,1,Association
6,Competitive Loss,game loss frustration,1,Situation
6,Competitive Loss,game loss situation,1,Situation
6,Competitive Loss,game losses in pro sports,1,Association
6,Competitive Loss,game match loss,1,Situation
6,Competitive Loss,game match losses,1,Situation
6,Competitive Loss,game of cards,1,Situation
6,Competitive Loss,game of chance,1,Situation
6,Competitive Loss,game playing loss,1,Situation
6,Competitive Loss,game points,1,Association
6,Competitive Loss,games - wins/losses,1,Association
6,Competitive Loss,games (sports),1,Association
6,Competitive Loss,games with friends,1,Situation
6,Competitive Loss,"games, most of the times when you loose something- it is in relation to a game. games of chance (lotto), video game, sports game.",1,Association
6,Competitive Loss,gaming tournament loss,1,Situation
6,Competitive Loss,giveaway,1,Situation
6,Competitive Loss,golf,1,Situation
6,Competitive Loss,golf bets,1,Association
6,Competitive Loss,golf match,1,Situation
6,Competitive Loss,good loser,1,Association
6,Competitive Loss,good opponent,1,Association
6,Competitive Loss,good sportsmanship,1,Association
6,Competitive Loss,hate losing,1,Situation
6,Competitive Loss,having someone beat you,1,Association
6,Competitive Loss,holiday prize,1,Situation
6,Competitive Loss,i did not win,1,Association
6,Competitive Loss,i like sport so i think of it as the team i like losing a game,1,Association
